"File","HasFooter","EvidenceLinksFound","EvidenceLinkCount"
"C:\Users\drago\Repos\winserver-toolkit.wiki\_Footer.md","False","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\_Sidebar.md","False","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\AID-Examples.md","True","True","2"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Checklists — Before Create or Modify.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\CP Register.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\CP-Examples.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Decision Log.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Home.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Increment 1 Plan.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Increment Roadmap.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Lab Topology & Offline Artifacts.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Labels.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Logging Policy.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Master AID Index.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\MVP Deep Plan.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\MVP Increment Plans.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Offline Artifacts Manifest.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\PowerShell Style & PSSA Rules.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Project Guide.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\RACI Matrix.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Release & Versioning Policy.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\RFCX Queue.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Risk Register.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 1 — Scope & Principles.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 2 — Chat Roles.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 3 — Workflow.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 4 — Security & Offline.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 5 — Config & Wizard.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 6 — Quality Gates.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 7 — Repo Hygiene.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Rules 8 — Interaction Framework.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Security Exceptions & Overrides.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Security.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\STIG Mapping Index.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Structure.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — AID Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — AID.md","False","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — CP Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — CP.md","False","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — Decision Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — Offline Artifact Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — RACI Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — RFCX Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — RFCX.md","False","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — Risk Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template — Roadmap Row.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Template-Front-Matter.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Testing Strategy (Pester).md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Universal Prompt.md","True","False","0"
"C:\Users\drago\Repos\winserver-toolkit.wiki\Wiki Changelog.md","True","False","0"
